               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,             0.03343,            0.030984,                   0,             0.81658,             0.62864,             0.73195,              0.4346,            0.045196,            0.030323,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.033345,            0.028909,                   0,              0.8723,             0.63107,             0.73943,             0.42502,            0.045671,            0.027907,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.031314,            0.029864,                   0,             0.84934,             0.69903,              0.7708,             0.47065,            0.043877,            0.026615,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.032193,            0.027147,                   0,             0.86212,             0.71359,             0.78144,              0.4874,             0.04312,            0.026423,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.031129,            0.026813,                   0,             0.86461,             0.68202,             0.76919,             0.45796,             0.04495,            0.026568,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,             0.03078,            0.026951,                   0,             0.91399,             0.69641,              0.7812,             0.47996,            0.043317,            0.026679,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.030943,             0.02617,                   0,             0.84629,             0.73501,             0.79459,             0.49236,            0.042585,             0.02571,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.029332,            0.025684,                   0,             0.85991,             0.73058,             0.78556,             0.47679,            0.043833,            0.026437,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.029921,            0.027737,                   0,             0.88275,             0.67718,             0.77303,             0.48148,            0.043392,            0.026521,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.029338,            0.026686,                   0,             0.87022,              0.6673,             0.76247,             0.47019,            0.043128,             0.02757,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.028916,            0.026567,                   0,             0.82327,             0.70146,             0.76859,             0.47548,            0.042697,            0.027967,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.029217,              0.0253,                   0,             0.84268,             0.68907,             0.76444,             0.48127,            0.042144,            0.028466,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.029074,            0.027368,                   0,              0.8371,             0.71117,             0.77492,             0.47754,            0.042957,            0.027759,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.028195,            0.025502,                   0,             0.89283,             0.72816,             0.80033,             0.52366,             0.04097,            0.026124,                   0,            0.002855,            0.002855,            0.002855
                  72,             0.02765,            0.025439,                   0,             0.90164,             0.71602,             0.80203,              0.5267,            0.041072,            0.026835,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.028522,            0.025857,                   0,             0.88072,             0.71845,             0.78821,             0.49667,            0.042388,            0.026988,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,            0.027817,            0.023924,                   0,              0.8702,               0.716,             0.79051,             0.51753,            0.041194,            0.027066,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.027155,            0.026157,                   0,             0.88562,             0.73301,             0.79943,              0.5168,            0.041032,            0.026391,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.027147,            0.022757,                   0,             0.88757,             0.72811,             0.78702,             0.52096,            0.040885,            0.026933,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.025744,            0.024285,                   0,             0.89519,             0.70631,             0.79336,              0.5232,            0.040398,            0.027093,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,              0.0258,            0.024022,                   0,             0.88653,             0.72087,             0.79503,               0.534,            0.040184,            0.026967,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.026064,            0.024132,                   0,             0.89655,             0.71602,             0.79809,             0.53184,             0.04011,            0.026799,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.025055,            0.024234,                   0,              0.8761,             0.72087,             0.79916,             0.54409,            0.039683,            0.026277,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.025687,            0.022977,                   0,             0.86554,             0.74994,             0.79834,             0.53143,            0.040432,            0.026845,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,             0.02444,            0.022953,                   0,             0.85247,             0.73058,             0.78007,             0.51812,            0.041572,             0.02757,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.024355,            0.023049,                   0,             0.89212,              0.7233,             0.79491,             0.54616,            0.040333,            0.026609,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.024838,            0.023058,                   0,             0.88285,             0.74992,             0.80556,             0.55512,            0.039195,            0.026286,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.024611,            0.023012,                   0,             0.88284,             0.74987,             0.80913,             0.55183,            0.039234,            0.026444,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,            0.024201,            0.023539,                   0,             0.88554,             0.73301,             0.79707,             0.53964,            0.040083,            0.026899,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.024211,            0.022152,                   0,             0.89783,             0.72573,              0.7942,             0.54338,             0.03942,            0.026458,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.024052,            0.023766,                   0,             0.88184,             0.74266,             0.79603,             0.54398,            0.039389,            0.025993,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,            0.023219,            0.023361,                   0,             0.88268,             0.73042,             0.79573,             0.53669,            0.040304,            0.025922,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.023149,            0.021223,                   0,             0.87816,             0.75225,             0.80866,              0.5639,            0.038713,            0.025708,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.023691,            0.020466,                   0,             0.88383,             0.74029,             0.80495,             0.56681,            0.038537,             0.02564,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.023419,            0.021631,                   0,             0.88682,             0.72267,             0.79717,             0.55896,            0.038972,            0.026444,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,             0.02301,            0.021379,                   0,             0.88215,             0.72816,             0.79848,             0.55835,            0.038969,            0.026303,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.022873,            0.021121,                   0,             0.88855,             0.71601,             0.79395,             0.54967,            0.039929,            0.026587,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,              0.0229,            0.020813,                   0,              0.8885,             0.71602,             0.80147,             0.55382,            0.039465,            0.026205,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.023201,            0.023152,                   0,             0.85392,             0.73786,             0.79645,             0.56316,            0.039053,            0.025958,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.023297,            0.022868,                   0,             0.87756,             0.71359,             0.78986,             0.56175,            0.039212,            0.026211,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.022673,            0.021564,                   0,             0.87904,             0.72318,             0.79249,              0.5581,            0.039019,            0.026687,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.023364,            0.021504,                   0,             0.88693,             0.72573,             0.79608,             0.56698,            0.038303,            0.026184,                   0,           0.0010089,           0.0010089,           0.0010089
